"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"car","car","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"carData","carData","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"caTools","caTools","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"cellranger","cellranger","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"checkmate","checkmate","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","2.1.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"class","class","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","7.3-21","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"classInt","classInt","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.4-9",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"cli","cli","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","3.6.1",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"clipr","clipr","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"cluster","cluster","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","2.1.4","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"coarseDataTools","coarseDataTools","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.6-6",NA,"R (>= 3.5.0)","MCMCpack, graphics, stats, methods",NA,"markdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"coda","coda","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"codetools","codetools","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.2-19","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"collapsibleTree","collapsibleTree","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.1.7",NA,"R (>= 3.0.0)","htmlwidgets, data.tree, stats, methods",NA,"colorspace, RColorBrewer, dplyr, testthat, tibble","knitr, shiny","GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"collections","collections","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.3.7",NA,NA,NA,NA,"testthat (>= 2.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"colorspace","colorspace","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","2.1-0",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"commonmark","commonmark","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.9.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"conflicted","conflicted","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"contfrac","contfrac","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.1-12",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"correlation","correlation","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.8.4",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), datasets, datawizard (>= 0.7.0),
insight (>= 0.19.1), parameters (>= 0.20.2), stats",NA,"BayesFactor, energy, ggplot2, ggraph, gt, Hmisc, knitr, lme4,
MASS, mbend, polycor, poorman, ppcor, psych, rmarkdown, rmcorr,
rstanarm, see (>= 0.7.5), testthat (>= 3.1.7), tidygraph, wdm,
WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"corrplot","corrplot","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"countrycode","countrycode","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.4.0",NA,"R (>= 2.10)",NA,NA,"testthat, tibble, utf8",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"covid19.analytics","covid19.analytics","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","2.1.3",NA,NA,"readxl, ape, rentrez, plotly, htmlwidgets, deSolve, gplots,
pheatmap, shiny, shinydashboard, shinycssloaders, DT, dplyr,
collapsibleTree",NA,"knitr, devtools, roxygen2, markdown, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"cowplot","cowplot","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"cpp11","cpp11","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.4.3",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"crayon","crayon","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.5.2",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"credentials","credentials","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.3.2",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"crosstalk","crosstalk","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"crul","crul","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.3",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"curl","curl","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","5.0.0",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"data.table","data.table","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.14.8",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"data.tree","data.tree","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.0.0",NA,"R (>= 3.5)","R6, stringi, methods",NA,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, treemap, party, partykit, doParallel,
foreach, htmlwidgets, DiagrammeR (>= 1.0.0), mockery, rpart","igraph","GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"datawizard","datawizard","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.7.1",NA,"R (>= 3.6)","insight (>= 0.19.1), stats, utils",NA,"bayestestR, boot, brms, data.table, dplyr (>= 1.0),
effectsize, gamm4, ggplot2, gt, haven, htmltools, httr, knitr,
lme4, mediation, parameters (>= 0.20.2), poorman (>= 0.2.6),
psych, readxl, readr, rio, rmarkdown, rstanarm, see, testthat
(>= 3.1.6), tidyr, withr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"DBI","DBI","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.1.3",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.0"
"dbplyr","dbplyr","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","2.3.2",NA,"R (>= 3.1)","blob (>= 1.2.0), cli (>= 3.4.1), DBI (>= 1.0.0), dplyr (>=
1.1.0), glue (>= 1.2.0), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.5.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.0.6), tibble (>= 1.4.2), tidyr (>= 1.3.0),
tidyselect (>= 1.2.0), utils, vctrs (>= 0.5.0), withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.2.15), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"DEoptimR","DEoptimR","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.0-12",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"desc","desc","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.4.2",NA,"R (>= 3.4)","cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"deSolve","deSolve","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.35",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"devtools","devtools","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"diffobj","diffobj","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"digest","digest","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.6.31",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"distributional","distributional","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.3.2",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, stats, numDeriv,
ggplot2, scales, farver, digest, utils, lifecycle",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar (>= 2.0.0), ggdist",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"docopt","docopt","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.7.1",NA,NA,"methods",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"doParallel","doParallel","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.3.0"
"dotCall64","dotCall64","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.0-2",NA,"R (>= 3.1)",NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"downlit","downlit","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.4.2",NA,"R (>= 3.4.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"downloader","downloader","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"dplyr","dplyr","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.1.2",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.0)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"drat","drat","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.2.3",NA,"R (>= 3.6.0)","utils",NA,"git2r, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"DT","DT","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.27",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"dtplyr","dtplyr","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"e1071","e1071","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.7-13",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"effectsize","effectsize","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","0.8.3",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), insight (>= 0.18.8), parameters (>=
0.20.2), performance (>= 0.10.2), datawizard (>= 0.6.5), stats,
utils",NA,"correlation (>= 0.8.3), see (>= 0.7.4), afex, BayesFactor,
boot, brms, car, emmeans, gt, knitr, lavaan, lme4, lmerTest,
MASS, mgcv, parsnip, rmarkdown, rms, rstanarm, rstantools,
testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"egor","egor","/home/aidishage/R/x86_64-pc-linux-gnu-library/4.3","1.23.3",NA,"R (>= 3.5.0), dplyr, tibble","tidygraph, srvyr, tidyr, methods, utils, purrr, rlang, pillar",NA,"knitr, testthat (>= 2.1.0), rmarkdown, survey, shiny, igraph,
network, haven",NA,"AGPL-3",NA,NA,NA,NA,"no","4.3.0"
